Timestamp,CPU (%),Memory VSZ (KB)
2025-01-13 15:44:40, 8.8,108016
2025-01-13 15:44:41, 9.2,108016
2025-01-13 15:44:42, 9.6,108016
2025-01-13 15:44:43, 9.9,108016
2025-01-13 15:44:44,10.3,108016
2025-01-13 15:44:45,10.7,108016
2025-01-13 15:44:46,11.0,108016
2025-01-13 15:44:47,11.4,108016
2025-01-13 15:44:48,11.7,108016
2025-01-13 15:44:49,12.1,108016
2025-01-13 15:44:50,12.4,108016
2025-01-13 15:44:51,12.8,108016
2025-01-13 15:44:52,13.1,108016
2025-01-13 15:44:53,13.4,108016
2025-01-13 15:44:54,13.8,108016
2025-01-13 15:44:55,14.1,108016
2025-01-13 15:44:56,14.4,108016
2025-01-13 15:44:57,14.8,108016
2025-01-13 15:44:58,15.1,108016
2025-01-13 15:44:59,15.4,108016
2025-01-13 15:45:00,15.7,108016
2025-01-13 15:45:01,16.1,108016
2025-01-13 15:45:02,16.4,108016
2025-01-13 15:45:03,16.7,108016
2025-01-13 15:45:04,17.0,108016
2025-01-13 15:45:05,17.3,108016
2025-01-13 15:45:06,17.6,108016
2025-01-13 15:45:07,17.9,108016
2025-01-13 15:45:08,18.2,108016
2025-01-13 15:45:09,18.5,108016
2025-01-13 15:45:10,18.8,108016
2025-01-13 15:45:11,19.1,108016
2025-01-13 15:45:13,19.4,108016
2025-01-13 15:45:14,19.7,108016
2025-01-13 15:45:15,20.0,108016
2025-01-13 15:45:16,20.3,108016
2025-01-13 15:45:17,20.6,108016
2025-01-13 15:45:18,20.8,108016
2025-01-13 15:45:19,21.1,108016
2025-01-13 15:45:20,21.4,108016
2025-01-13 15:45:21,21.7,108016
2025-01-13 15:45:22,22.0,108016
2025-01-13 15:45:23,22.2,108016
2025-01-13 15:45:24,22.5,108016
2025-01-13 15:45:25,22.8,108016
2025-01-13 15:45:26,23.0,108016
2025-01-13 15:45:27,23.3,108016
2025-01-13 15:45:28,23.6,108016
2025-01-13 15:45:29,23.8,108016
2025-01-13 15:45:30,24.1,108016
2025-01-13 15:45:31,24.4,108016
2025-01-13 15:45:32,24.6,108016
2025-01-13 15:45:33,24.9,108016
2025-01-13 15:45:34,25.1,108016
2025-01-13 15:45:35,25.4,108016
2025-01-13 15:45:36,25.6,108016
2025-01-13 15:45:37,25.9,108016
2025-01-13 15:45:38,26.1,108016
2025-01-13 15:45:39,26.4,108016
2025-01-13 15:45:40,26.6,108016
2025-01-13 15:45:41,26.8,108016
2025-01-13 15:45:42,27.1,108016
2025-01-13 15:45:43,27.3,108016
2025-01-13 15:45:44,27.6,108016
2025-01-13 15:45:45,27.8,108016
2025-01-13 15:45:46,28.0,108016
2025-01-13 15:45:47,28.3,108016
2025-01-13 15:45:49,28.5,108016
2025-01-13 15:45:50,28.7,108016
2025-01-13 15:45:51,29.0,108016
2025-01-13 15:45:52,29.2,108016
2025-01-13 15:45:53,29.4,108016
2025-01-13 15:45:54,29.6,108016
2025-01-13 15:45:55,29.8,108016
2025-01-13 15:45:56,30.1,108016
2025-01-13 15:45:57,30.3,108016
2025-01-13 15:45:58,30.5,108016
2025-01-13 15:45:59,30.7,108016
2025-01-13 15:46:00,30.9,108016
2025-01-13 15:46:01,31.1,108016
2025-01-13 15:46:02,31.4,108016
2025-01-13 15:46:03,31.6,108016
2025-01-13 15:46:04,31.8,108016
2025-01-13 15:46:05,32.0,108016
2025-01-13 15:46:06,32.2,108016
2025-01-13 15:46:07,32.4,108016
2025-01-13 15:46:08,32.6,108016
2025-01-13 15:46:09,32.8,108016
2025-01-13 15:46:10,33.0,108016
2025-01-13 15:46:11,33.2,108016
2025-01-13 15:46:12,33.4,108016
2025-01-13 15:46:13,33.6,108016
2025-01-13 15:46:14,33.8,108016
2025-01-13 15:46:15,34.0,108016
2025-01-13 15:46:16,34.2,108016
2025-01-13 15:46:17,34.4,108016
2025-01-13 15:46:18,34.6,108016
2025-01-13 15:46:19,34.8,108016
2025-01-13 15:46:20,35.0,108016
2025-01-13 15:46:21,35.1,108016
2025-01-13 15:46:22,35.3,108016
2025-01-13 15:46:23,35.5,108016
2025-01-13 15:46:24,35.7,108016
2025-01-13 15:46:25,35.9,108016
2025-01-13 15:46:26,36.1,108016
2025-01-13 15:46:27,36.3,108016
2025-01-13 15:46:29,36.4,108016
2025-01-13 15:46:30,36.6,108016
2025-01-13 15:46:31,36.8,108016
2025-01-13 15:46:32,37.0,108016
